,location
0,bali
1,"gedung dpr, senayan, jakarta"
2,perancis
3,filipina
4,indonesia
5,"pulau nusakambangan, cilacap"
6,australia
7,australia
8,nigeria
9,indonesia
10,perancis
11,brasil
12,nigeria
13,ghana
14,nigeria
15,filipina
16,jawa barat
17,jakarta
18,jabar
19,"kompleks istana negara, jakarta"
20,kantor lingkaran survei indonesia
21,"jl pramuka, jakarta timur"
22,"rumah sakit pusat pertamina, jakarta pusat"
23,"rspp, jakarta"
24,jakarta
25,istana negara
26,jawa tengah ii
27,"samarinda, kalimantan timur"
28,indonesia
29,jakarta
30,tempat pemungutan suara (tps)
31,indonesia
32,tps
33,pengadilan
34,"gedung dpr, jakarta"
35,kemayoran jakarta pusat
36,"gedung dpr ri, jakarta"
37,istana bogor
38,bali
39,denpasar
40,bali
41,bali
42,bali
43,bali
44,bali
45,"hotel js luwansa, jakarta"
46,jawa timur
47,jawa timur
48,kabupaten sumenep
49,yogyakarta
50,yogyakarta
51,jakarta
52,yogyakarta
53,yogyakarta
54,dki jakarta
55,sulawesi utara
56,sulawesi selatan
57,medan
58,pekanbaru
59, surabaya
60,jalan taman surapati
61,menteng
62,jakarta pusat
63,dki jakarta
64,surabaya
65,jawa tengah
66,kabupaten boyolali
67,kabupaten klaten
68,kabupaten sukoharjo
69,kota surakarta
70,jawa tengah
71,kantor komisi pemilihan umum (kpu)
72,menteng
73,jakarta pusat
74,istana negara
75,gedung dpr
76,jakarta
77,gedung dpr
78,jakarta
79,wisma haji kota madiun
80,jawa timur
81,pendapa pemerintah kabupaten madiun
82,"kampus institut agama islam sunan giri, ponorogo"
83,dki jakarta
84,dki
85,kantor presiden jakarta
86,sulawesi selatan
87,se-sulawesi selatan
88,sulawesi selatan
89,rumah makan sariwangi
90,makassar
91,sulawesi selatan
92,se-sulawesi selatan
93,jakarta 
94,indonesia
95, pengadilan tipikor
96,jakarta
97,"hotel preanger, kota bandung, jawa barat"
98,sabuga kota bandung
99,jakarta
100,"jl.  wahid hasyim, jakarta"
101,"kediri, jawa timur"
102,"gedung dpr, jakarta"
103,lingkungan dpr
104,gedung nusantara ii komplek dpr
105,gedung dpr
106,"gedung dpr, jakarta"
107,"kompleks dpr, senayan"
108,"restoran gado-gado boplo, jakarta"
109,"hotel grand sahid jaya, sudirman, jakarta pusat"
110,"gedung dpr ri, senayan, jakarta"
111,gedung dpr
112,senayan
113,dpr
114,"kompleks parlemen, senayan, jakarta"
115,istana negara jakarta
116,halim perdanakusumah jakarta
117,yogyakarta
118,yogya
119,istana negara
120,istana jogja
121,jakarta convention center
122,jakarta
123,senayan
124,"warung daun, cikini, jakarta pusat"
125,pengadilan negeri jakarta selatan
126,jawa barat
127,jawa barat
128,jawa barat
129,"galeri cipta, cikini, jakarta"
130,"gedung dpr, jakarta"
131,"komplek dpr, jakarta"
132,cirebon
133,"rumah perubahan 2.0, jakarta"
134,"porong, sidoarjo, jawa timur"
135,lokasi luapan lumpur lapindo
136,israel
137,palestina
138,israel
139,israel
140,israel
141,gaza
142,palestina
143,israel
144,israel
145,israel
146,jalur gaza
147,israel
148,israel
149,jakarta pusat
150,jakarta pusat
151,medan merdeka barat
152,indonesia
153,indonesia
154,mesir
155,israel
156,palestina
157,israel
158,beersheba
159,libanon
160,israel utara
161,libanon
162,israel
163,gedung gaza
164,israel
165,kota rafah
166,gaza selatan
167,palestina
168,israel
169,gaza tengah
170,palestina
171,israel
172,seluruh gaza
173,israel
174,israel
175,tel aviv
176,israel
177,mesir
178,gaza
179,israel
180,mesir
181,palestina
182,kairo
183,kairo
184,wilayah gaza
185,mesir
186,kairo
187,bandung
188,indonesia
189,indo?nesia
190,indonesia
191,indonesia
192,indonesia
193,indonesia
194,jepang
195,jakarta
196,indonesia
197,indonesia
198,qatar
199,gletser dyungjujokull islandia
200,islandia
201,atlantik utara
202,gletser dyinghuhokull
203,islandia
204,eyjafjallajokull
205,eropa
206,brussels eurocontrol
207,london
208,bandung
209,indonesia
210,indonesia
211,asia tenggara
212,singapura
213,malaysia
214,filipina
215,indonesia
216,jakarta
217,manokwari
218,papua barat
219,libya
220,tripoli
221,misrata
222,tripoli
223,libya
224,tripoli
225,misrata
226,tripoli
227,zintan
228,libya barat
229,zintan
230,misrata
231,tripoli
232,libya
233,libya
234,misrata
235,jakarta
236,kantor kementerian sosial ( kemensos )
237,salemba
238,jakarta
239,indonesia
240,indonesia
241,iran
242,iran
243,iran
244,amerika serikat
245,teluk arab
246,iran
247,teheran
248,iran
249,iran
250,israel
251,as
252,timur tengah
253,rusia
254,finlandia
255,finlandia
256,rusia
257,teluk finlandia
258,rusia
259,st petersburg
260,kilingrad
261,rusia
262,polandia
263,lithuania
264,rusia
265,finlandia
266,rusia
267,moskow
268,medan
269,pusat pasar kota medan
270,medan
271,medan
272,pusat pasar kota medan
273,medan
274,aceh
275,riau
276,jambi
277,batam
278,pasar sentral kota medan
279,jalan bintang
280,jalan bulan
281,jalan veteran
282,medan
283,afghanistan
284,afghanistan
285,kabul
286,afghanistan
287,afghanistan
288,kabul
289,afghanistan
290,sierra leone
291,sierra leone
292,afrika barat
293,guinea
294,liberia
295,nigeria
296,sierra leone
297,jenewa
298,jakarta selatan
299,jerman
300,suriah
301,brandenburg
302,jerman timur
303,suriah
304,jerman
305,jambi
306,main theater cultural center of the philippines
307,china
308,afghanistan
309,jambi
310,pilipina
311,puerto rico
312,republik dominika
313,bahamas
314,kepulauan turks
315,cairos
316,mayaguana
317,turks
318,cairos
319,bahamas
320,barranquitas
321,jakarta
322,indonesia
323,tiongkok
324,india
325,tiongkok
326,indonesia
327,asia
328,suriah
329,dataran tinggi golan
330,israel
331,suriah
332,dataran tinggi golan
333,israel
334,israel
335,israel
336,sekitar gaza
337,suriah
338,israel
339,suriah
340,israel
341,suriah
342,israel
343,suriah
344,israel utara
345,raja ampat
346,indonesia
347,raja ampat
348,raja ampat
349,papua barat
350,raja ampat
351,papua barat
352,raja ampat
353,indonesia
354,indonesia
355,jakarta
356,indonesia
357,dki jakarta
358,sriwijaya promotion center palembang
359,sumatera selatan
360,dki jakarta
361,jawa tengah
362,dki jakarta
363,jawa tengah
364,dki jakarta
365,jawa timur
366,dki jakarta
367,jawa tengah
368,dki jakarta
369,indonesia
370,jakarta
371,indonesia
372,bandung
373,abkhazia
374,abkhazia
375,rusia
376,moskow
377,cherkessk
378,istanbul
379,turki
380,abkhazia
381,khajimbaa
382,uni soviet
383,sumatera utara
384,medan
385,gedung bei medan
386,medan
387,kantor bei
388,medanyang
389,jalan asia no. 182 medan
390,tiongkok
391,xinjiang
392,taman tiananmen
393,beijing
394,xinjiang
395,uighur
396,turki
397,tiongkok
398,xinjiang
399,beijing
400,tiongkok beijing
401,tiananmen
402,prefektur aksu
403,xinjiang
404,kash??gar
405,hotan
406,tiongkok
407,xinjiang
408,xinjiang
409,xinjiang
410,urumqi
411,arab saudi
412,jakarta
413,israel
414,jalur gaza
415,israel
416,palestin
417,gaza
418,beit hanun
419,gaza
420,gaza city
421,israel
422,israel
423,israel
424,gaza
425,israel
426,gaza
427,israel
428,israel
429,israel
430,israel
431,israel
432,gaza
433,kawasan pantura
434,cirebon
435,kuningan
436,indonesia
437,pantura
438,gedung dpr/mpr
439,jakarta
