,person
0,arie sudjito
1,aburizal bakrie
2,aburizal
3,arie
4,golkar
5,arie
6,arie
7,aburizal
8,ms hidayat
9,airlangga hartarto
10,hidayat
11,airlangga
12,airlangga
13,arie
14,hidayat
15,airlangga
16,aburizal
17,arie
18,aburizal
19,arie
20,arie
21,fadli zon
22,joko widodo
23,fadli
24,fadil zon
25,serge atlaoui
26,mary jane fiesta veloso
27,fadli
28,fadli
29,andrew chan
30,myuran sukumaran
31,raheem agbaje salami
32,zainal abidin
33,serge areski atlaoui
34,rodrigo gularte
35,silvester obiekwe nwaolise
36,mustofa 
37,martin anderson
38,belo
39,okwudili oyatanze
40,mary jane fiesta veloso
41,irianto ms syaifuddin-tatang farhanul hakim (irianto-tatang)
42,nurul arifin
43,ahmad heryawan-deddy mizwar (heryawan-deddy)
44,rieke diah pitaloka-teten masduki (rieke-teten)
45,dede yusuf macan efendi-lex laksamana
46,dikdik m arief mansur-cecep nana suryana toyib (dikdik-toyib)
47,nurul
48,nurul
49,nurul
50,nurul
51,menkokesra agung laksono
52,agung
53,aburizal bakrie
54,agung
55,ardian sofa
56,guruh soekarnoputra
57,suhardi
58,suhardi
59,guruh
60,suhardi
61,pak suhardi
62,suhardi
63,guruh
64,suhardi
65,suhardi
66,suhardi
67,andi widjajanto
68,joko widodo
69,h. m.prasetyo
70,joko widodo
71,prasetyo
72,andi
73,andi
74,prasetyo
75,basrief arief
76,andi
77,jokowi
78,prasetyo
79,prasetyo
80,prasetyo
81,prasetyo
82,surya paloh
83,prasetyo
84,prasetyo
85,muhammad yusuf
86,widyo pramono
87,andhi nirwanto
88,anis matta
89,anis
90,"aburizal ""ical"" bakrie"
91,hatta rajasa
92,wiranto
93,prabowo subianto-hatta rajasa
94,firman wijaya
95,firman
96,prabowo-hatta
97,prabowo-hatta
98,firman
99,firman
100,firman
101,firman
102,prabowo-hatta
103,firman
104,firman
105,firman
106,firman
107,joko widodo-jusuf kalla
108,ruhut sitompul
109,joko widodo
110,jokowi
111,jokowi
112,ruhut
113,ruhut
114,ruhut
115,jokowi
116,ruhut
117,jokowi
118,kh abdurrahman wahid (gus dur)
119,gus dur
120,gus dur
121,muhaimin iskandar
122,gus dur
123,ketua umum partai golkar aburizal bakrie
124,ketua umum partai nasdem surya paloh
125,wasekjen golkar tantowi yahya
126,tantowi
127,surya paloh
128,ical
129,surya paloh
130,aburizal bakrie
131,tantowi
132,aburizal bakrie
133,suryo palih
134,anggota komisi i dpr
135,aburizal bakrie
136,ahmad mubarok
137,mubarok
138,mubarok
139,ketua umum partai golkar aburizal bakrie
140,presiden sby
141,ical
142,ubedillah badrun
143,ubedillah
144,yasonna h laoly
145,yasonna
146,romahurmuziy
147,jokowi
148,didik mukriyanto
149,didik
150,didik
151,didik
152,joko widodo
153,ketua umum gerindra prabowo subianto
154,wakil sekretaris jenderal pdip ahmad basarah
155,basarah
156,budi gunawan
157,basarah
158,budi gunawan
159,jokowi
160,budi gunawan
161,jokowi
162,prabowo
163,jokowi
164,basarah
165,basarah
166,jokowi
167,jero wacik
168,marzuki alie
169,toto riyanto
170,syarief hasan
171,hadi utomo
172,i made mudharta
173,made
174,made
175,made
176,made
177,made
178,made
179,hadi utomo
180,made
181,ganjar pranowo
182,ganjar
183,ganjar
184,ganjar
185,akbar tandjung
186,aburizal bakrie
187,ical
188,akbar
189,akbar
190,akbar
191,hary tanoesoedibyo
192,sufyan absi
193,harry tanoe
194,harry tanoe
195,nasdem
196,harry tanoe
197,harry tanoe
198,partai nasdem
199,sufyan
200,sufyan
201,tjahjo kumolo
202,tjahjo
203,sultan hamengku buwono x
204,tjahjo
205,ruhut sitompul
206, ruhut 
207,ruhut
208,ruhut sitompul
209,jokowi
210,jokowi
211,ruhut 
212, jokowi 
213,ruhut 
214,jokowi
215, jokowi
216,ruhut 
217,jokowi
218, ruhut
219,jokowi
220,ruhut
221,romahurmuziy
222,jokowi
223,romahurmuziy
224,suharso monoarfa
225,romahurmuziy
226,romahurmuziy
227,angel lelga
228,rhoma irama
229,fernita darwis
230,angel lelga
231,fernita
232,angel lelga
233,mat solar
234,syarif kasim
235,rahman yakub
236,ratih sanggarwati
237,okky asokawati
238,fernita
239,angel lelga
240,suryadharma ali
241,fernita
242,fernita
243,angel
244,fernita
245,angel
246,soesilo bambang yudhoyono
247,yudhoyono
248,yudhoyono
249,marwan jafar
250,marwan
251,marwan
252,marwan
253,agung laksono
254,agung
255,agung
256,mahfud md. 
257,muhamin iskandar
258,mahfud md. 
259,jusuf kalla
260,rhoma irama
261,mahfud
262,mahfud
263,mahfud
264,mahfud
265,muhaimin iskandar
266,mahfud md. 
267,bupati muhtarom
268,mahfud
269,djan faridz
270,presiden sby
271,suharso monoarfa
272,djan faridz
273,djan faridz
274,djan farid
275,sudi silalahi
276,tb hasanuddin
277,joko widodo
278,jokowi
279,budi gunawan
280,jokowi
281,badrodin haiti
282,jokowi
283,jokowi
284,hasanuddin
285,megawati soekarnoputri
286,jokowi
287,joko widodo
288,budi gunawan
289,budi
290,kpk
291,budi
292,ahmad basarah
293,jokowi
294,jokowi
295,jokowi
296,ahmad basarah
297,basarah
298,budi
299,badrodin haiti
300,jokowi
301,budi gunawan
302,zulkifli hasan
303,pak zulkifli
304,ashabul kahfi
305,zulkifli hasan
306,zulkifli hasan
307,zulkifli
308,andi taufan tiro
309,indira chunda thita
310,yandri susanto
311,zulkifli
312,zulkifli
313,zulkifli
314,anas urbaningrum
315,adnan buyung nasution
316,adnan
317,haswandi 
318,adnan 
319,haswandi 
320,haswandi 
321,neneng sri wahyuni
322,yulianis
323,oktarina putri
324,neneng
325,yulianis 
326,oktarina
327,haswandi
328,haswandi
329,adnan 
330,sutan bhatoegana
331,sutan
332,susilo bambang yudhoyono
333,sutan 
334,sutan 
335,sutan
336,suryadharma ali
337,suryadharma ali
338,mahfud md
339,jusuf kalla
340,marwan ja'far
341,marwan
342,marwan
343,yenny wahid
344,marwan
345,yenny wahid
346,gus dur
347,marwan
348,yenny wahid
349,yenny wahid
350,syafrin romas
351,imron hamid
352,eva sundari
353,eva
354,eva
355,eva
356,suryadharma ali
357,suharso manoarfa
358,irgan chairul mahfidz
359,irgan
360,irgan
361,irgan
362,vena melinda
363,vena
364,vena
365, vena
366,vena
367,vena
368,susilo bambang yudhoyono (sby)
369,presiden sby
370,idrus marham
371,idrus
372,idrus
373,presiden sby
374,presiden susilo bambang yudhoyono
375,dahlan iskan
376,dahlan iskan
377,dahlan
378,muhammad prakosa
379,presiden sby
380,sby
381,dahlan
382,dahlan iskan
383,dahlan
384,dahlan iskan
385,prakosa
386,dahlan
387,andi timo pangerang
388,muhammad hatta
389,m ichlas el qudsi
390,didi irawadi syamsuddin
391,didi
392,didi
393,aburizal
394,prabowo subianto
395,susilo bambang yudhoyono
396,irawadi
397,didi
398,aburizal
399,didi
400,susilo bambang yudhoyono
401,sby
402,joko widodo
403,muhaimin iskandar
404,joko widodo (jokowi)
405,cak imin
406,jokowi
407,cak imin
408,jokowi 
409,jokowi
410,cak imin
411,jokowi
412,siswono yudo husodo
413,siswono
414,joko widodo-jusuf kalla
415,jokowi
416,siswono
417,prabowo subianto-hatta rajasa
418,joko widodo
419,usuf kalla
420,prabowo-hatta
421,pramono anung
422,pramono
423,wa ode nurhayati
424,wa ode
425,pramono
426,agun gunanjar sudarsa
427,agun
428,agun
429,ida fauziah
430,ida fauziah
431,bambang widjojanto
432,saan mustopa
433,bambang widjojanto
434,bambang
435,bambang
436,bambang
437,bambang
438,bambang
439,saan
440,bambang
441,saan
442,bambang
443,anas urbaningrum
444,susilo bambang yudhoyono
445,sby
446,anas
447,sby
448,anas
449,anas
450,sby
451,anas
452,sby
453,sby
454,anas
455,susilo bambang yudhoyono (sby)
456,ny ani yudhoyono
457,sultan hb x
458,sultan hamengkubuwono x
459,presiden sby
460,daniel sparingga
461,boediono
462,joko widodo
463,rini soemarno
464,andi widjajanto
465,siti noor laila
466,noor laila
467,jokowi
468,boediono
469,boediono
470,ny herawati boediono
471,nurul arifin
472,joko widodo (jokowi)
473,jusuf kalla
474,nurul
475,nurul
476,nurul
477,jokowi
478,nurul
479,nurul
480,jokowi
481,effendi simbolon
482,nurul
483,jokowi
484,effendi
485,sudirman said
486,rini (soemarno)
487,sofyan djalil
488,effendi
489,rini
490,andi widjajanto
491,jokowi
492,rini
493,megawati
494,andi
495,achsanul qosasi
496,susilo bambang yudhoyono
497,achsanul
498,sby
499,sby
500,achsanul
501,sby
502,bu ani
503,marzuki alie
504,ani yudhoyono
505,achsanul
506,bu ani
507,ani
508,achsanul
509,dr.  lely arriane napitupulu
510,lely
511,lely
512,lely
513,susno duadji
514,susno
515,susno
516,sjahril djohan
517,sjahril
518,haposan hutagalung
519,susno
520,susno
521,haposan
522,susno
523,haposan
524,sjahril
525,sjahril
526,susno
527,susno
528,sjahril
529,haposan
530,sjahril
531,ho
532,haposan
533,susno
534,sjahril
535,ahmad heryawan
536,yusuf effendi
537,tb hasanuddin
538,ahmad heryawan
539,dede yusuf
540,tb
541,rieke diah pitaloka
542,teten masduki
543,yusuf effendi
544,lex laksamana
545,ahmad heryawan
546,deddy mizwar
547,irianto ms syarifuddin
548,tatang farhanul hakim
549,ahmad doli kurnia
550,ahmad
551,ahmad
552,ahmad
553,ahmad
554,nasir djamil
555,nasir
556,nasir
557,aboebakar al habsy
558,hajrul azwar
559,angel lelga
560,angel
561,angel
562,hajrul
563,hajrul
564,angel lelga
565,angel
566,hajrul
567,hajrul
568,angel
569,angel
570,hajrul
571,angel lelga
572,rhoma irama
573,sutiyoso
574,sutiyoso
575,sutiyoso
576,boni hargens
577,sby
578,m nazaruddin
579,boni
580,nazaruddin
581,joko widodo
582,jokowi
583,ahmad basarah
584,basarah
585,jokowi
586,basarah
587,megawati soekarnoputri
588,joko widodo
589,aburizal bakrie
590,prabowo subianto
591,jokowi
592,joko widodo
593,jokowi
594,jokowi
595,jokowi
596,jokowi
597,jokowi
598,benjamin netanyahu
599,netanyahu
600,netanyahu
601,prabowo-hatta
602,djoko suyanto
603,susilo bambang yudhoyono
604,djoko
605,djoko
606,djoko
607,sutarman
608,sutarman
609,mahmud abbas
610,abdel fattah al-sisi
611,abbas
612,sri rahayu
613,widodo
614,sri rahayu
615,sri
616,sri
617,tritarayati
618,tritarayati
619,tritarayati
620,tritarayati
621,eurocontrol
622,sri rahayu widodo
623,sri
624,sri
625,sri
626,mutiara sibarani
627,rachlan nasidik
628,prabowo-hatta
629,rachlan nasidik
630,rachlan
631,joko widodo
632,jusuf kalla
633,susilo bambang yushoyono
634,sby
635,rachlan
636,syarif hasan
637,joko widodo
638,rachlan
639,boyke novrison
640,susilo bambang yudhoyono
641,joko widodo
642,yudhoyono
643,yudhoyono
644,sby
645,jokowi
646,sby
647,jokowi
648,jokowi
649,sby
650,jokowi
651,yudhoyono
652,moammar khadafi
653,khalifa haftar
654,khadafi
655,salim segaf al jufri
656,hassan rouhani
657,rouhani
658,rouhani
659,rouhani
660,mahmoud ahmadinejad
661,tampubolon
662,ucok harahap
663,laila
664,frank kargbo
665,amir syamsuddin
666,amir
667,joko widodo
668,amir
669,amir
670,jokowi
671,amir
672,busyro muqoddas
673,maju daryono pakpahan
674,sh
675,denny iryadhi
676,saur marlina manurung
677,butet manurung
678,butet
679,saur marlina manurung
680,hu shuli
681,omara khan masoudi
682,butet
683,butet
684,ramon magsaysay
685,joko widodo-jusuf kalla ( jokowi-jk )
686,jokowi-jk akbar faizal
687,akbar
688,akbar
689,akbar
690,jokowi-jk
691,akbar
692,akbar
693,jokowi-jk
694,akbar
695,afp
696,bashar al-assad
697,sharif cicip sutardjo
698,sharif
699,meliadi sembiring
700,meliadi
701,musliar kasim
702,mustaghfirin
703,mustaghfirin
704,musliar
705,bacharuddin jusuf habibie
706,bambang hidayat
707,mardjono siswosuwarno
708,magnis suseno
709,satrio soemantri brodjonegoro
710,toeti heraty
711,roosseno soerjohadikoesoema
712,roosseno
713,ali sastroamidjojo
714,roosseno
715,toety
716,habibie
717,habibie
718,roosseno
719,habibie
720,sangkot marzuki
721,habibie
722,roosseno
723,alexander ankvab
724,raul khajimba
725,ankav
726,sergey bagapsh
727,khajimba
728,ankvab
729,abkhaz
730,khajimba
731,vitaly gabnia
732,abkhaz
733,aruaa
734,ankvab
735,khajimba
736,aslan
737,bzhania
738,khajimba
739,bzhania
740,khajimba
741,bzhania
742,bzhania
743,ankvav
744,leonid lakerbaia
745,merab kishmaria
746,leonod dzapshba
747,yoseph kaburuan
748,muhammad pintor
749,pintor
750,slamet effendy yusuf
751,slamet effendy yusuf
752,slamet
753,prabowo subianto-hatta rajasa
754,jokowi-kalla
755,joko widodo-jusuf kalla
756,slamet
757,jokowi-kalla
758,jokowi
759,slamet
760,jokowi
761,nelson mandela
762,slamet
763,jokowi-jk
764,benjamin netanyahu
765,hanung budya
766,hanung
767,hanung
768,joko widodo
769,jokowi
770,jero wacik
771,jokowi
772,jero
773,jero
774,jero
775,jokowi
776,jokowi
777,jokowi
778,hanung
779,hanung
780,mohammed al-ghu
781,ghul
782,mayor arye shalicar
783,shalicar
784,ghul
785,ghul
786,ghul
787,brigade ezzedine al-qassam
788,mohammed deif
789,deif
790,abdillah onim
791,onim
792,onim
793,onim
794,fanshurullah asa
795,fanshurullah
796,susilo bambang yudhoyono ( sby )
797,sby
798,fanshurullah
799,joko widodo ( jokowi )
800,jokowi
801,jokowi
802,hanung budya
803,hanung
804,hanung
805,jero wacik
806,jero
807,jero
808,jero
809,jero
810,rahmad dwi ardhiansyah
811,riefky pradipta baihaqie
812,muhammad nuri nuha naufal
813,muhammad atabika farma nanda
814,aprilia maharani
815,rahmad
816,dwi ardhiansyah
817,rahmad dwi ardhiansyah
818,rahmad
819,riefky pradipta baihaqie
820,muhammad nuri nuha naufal
821,muhammad atabika farma nanda
822,aprilia maharani
823,rahmad
824,rahmad
825,riefky
826,grace judio-kahl
827,grace
828,grace
829,frans sumarto mendur
830,soekarno
831,alexius impurung mendur
832,soekarno
833,soekarno
834,laksamana maeda
835,soekarno
836,soekarno
837,mohammad hatta
838,frans
839,soekarno
840,latief hendraningrat
841,soekarno
842,alex mendur
843,frans mendur
844,frans
845,frans mendur
846,bm diah
847,alex mendur
848,frans mendur
849,frans
850,alex mendur
851,justus
852,frank
853,umbas
854,alex mamusung
855,oscar ganda
856,alex mendur
857,frans mendur
858,frans
859,alex
860,frans
861,alex mendur
862,bung tomo
863,frans mendur
864,soeharto
865,jendral soedirman
866,frans mendur
867,alex mendur
868,frans
869,alex mendur
870,susilo bambang yudhoyono
871,alexius impurung mendur
872,frans soemarto mendur
873,alex
874,frans
875,susilo bambang yudhoyono
876,steve perlman
877,steve perlman
878,perlman
879,perlman
880,perlman
881,perlman
882,charles darwin
883,perlman
884,steve perlman
885,andrew brown
886,don pettit
887,pettit
888,alejandro sanchez
889,sanchesz
890,sanchez
891,sanchez
892,sanchez
893,sanchez
894,sanchez
895,sanchez
896,felix numbi
897,dr numbi
898,marie-paulie kieny
899,kieny
900,jean-marie okwo bele
901,okwo bele
902,erly sukrismanto
903,erly sukrismanto
904,erly
905,cut meutia
906,cut meutia
907,cut meutia
908,cut meutia
909,diah ningrum
910,diah
911,yushan sayuti
912,bernardus djonoputro
913,bernard
914,ir. soprijanto
915,jimly asshiddiqie
916,soegeng rahardjo
917,soegeng
918,soegeng
919,soegeng
920,jackie chan
921,ma mingqiang
922,ma
923,ma
924,wayan subagja
925,rani
926,budi
927,nia
928,husein
929,anton
930,tutankhamun
931,tumiran
932,tubagus daniel azhari
933,tomash
934,nurul
935,parjo
936,hugo de vries
937,darwin
938,faruq el-shara
939,solana
940,hariri
941,solana
942,jaques chirac
943,hariri
944,solana
945,solana
946,ellen sauerbrey
947,sauerbrey
948,paul kagame
949,kagame
950,kagame
951,omar beshir
952,beshir
953,tony blair
954,zalmay khalilzad
955,khalilzad
956,khalilzad
957,robert gates
958,abdullah ii
959,abdullah
960,ehud olmert
961,mahmud abbas
962,gates
963,khalid al-sarayreh
964,nuri al-maliki
965,f lofaso
966,raymond poincare
967,lofaso
968,bill richardson
969,omar al-beshir
970,beshir
971,richardson
972,richardson
973,lam akol
974,rahmat gobel
975,fuad
976,syumli
977,syadli
978,guy l
979,smith
980,philip morris
981,mr. smith
982,khartoum
983,miran shah
984,shaukat sultan
985,semtamu
986,rowan williams
987,bernard matthews
988,hugh grant
989,jemima khan
990,hugh
991,jemima
992,hugh grant
993,robert garlock
994,grant
995,hurley
996,grant
997,khan
998,imran kham
999,sir james goldsmith
1000,grant
1001,khan
1002,morgan tsangirai
1003,wayne bvudzijena
1004,bvudzijena
1005,tsvangirai
1006,robert mugabe
1007,chamisa
1008,mugabe
1009,esmael ahmadi-mogadam
1010,shahid
1011,yahya rahim
1012,rodney lyle petersen
1013,petersen
1014,petersen
1015,emily d parker
1016,parker
1017,robert mugabe
1018,sikhanyiso ndlovu
1019,harare
1020,morgan tsvangirai
1021,mugabe
1022,condoleezza rice
1023,tsvangirai
1024,zimbabwe
1025,amanda vanstone
1026,john howard
1027,howard
1028,vanstone
1029,kevin andrews
1030,joe hockey
1031,malcolm turnbull
1032,ian campbell
1033,howard
1034,vanstone
1035,meles zenawi
1036,aden hashi ayro
1037,sheikh hassan dahir aweys
1038,hassan turki
1039,meles
1040,joel simon
1041,boediono
1042,rofikoh rokhim
1043,rofikoh
1044,d cyril noerhadi
1045,mohammad hossein
1046,miller
1047,nitin jain
1048,zeti akhtar aziz
1049,evelina fadil pietruschka
1050,evelina
1051,boediono
1052,susilo bambang yudhoyono
1053,eko
1054,joko widodo
1055,joko widodo
1056,jokowi
1057,jokowi
1058,jokowi
1059,hadar nafis gumay
1060,hadar
1061,nurhayati ali assegaf
1062,susilo bambang yudhoyono
1063,nurhayati
1064,soekarno
1065,megawati
1066,soekarno
1067,sby
1068,nurhayati
1069,nurhayati
1070,nurhayati
1071,nurhayati
1072,nurhayati
1073,benny kabur harman
1074,bibit s rianto
1075,chandra m hamzah
1076,anggodo widjojo
1077,benny
1078,bibit-chandra
1079,anggodo
1080,benny
1081,bibit
1082,chandra
1083,benny
1084,anggodo
1085,refrizal
1086,refrizal
1087,refrizal
1088,refrizal
1089,jimly asshiddiqie
1090,refrizal
1091,pramono anung
1092,saan mustopa
1093,saan
1094,saan
1095,saan
1096,ahmad rofiq
1097,surya paloh
1098,rofiq
1099,rofiq
1100,surya paloh
1101,rofiq
1102,surya paloh
1103,rofiq
1104,hasto kristiyanto
1105,aziz syamsuddin
1106,benny k harman
1107,junimart girsang
1108,benny
1109,hasto
1110,zainal
1111,abraham samad
1112,abraham samad
1113,pak hasto
1114,benny
1115,hasto
1116,pak hasto
1117,benny
1118,agus suhartono
1119,agus
1120,agus suhartono
1121,mahfudz siddik
1122,jusuf kalla
1123,joko widodo
1124,tedjo edhy purdijatno
1125,kalla
1126,kalla
1127,tedjo
1128,tedjo
1129,tedjo
1130,budi gunawan
1131,tedjo
1132,budi gunawan
1133,budi gunawan
1134,tedjo
1135,tedjo
1136,tedjo
1137,tedjo
1138,tedjo
1139,tedjo
1140,johan budi
1141,waryono karno
1142,johan
1143,johan
1144,waryono
1145,johan
1146,johan
1147,waryono
1148,waryono
1149,waryono
1150,waryono
1151,waryono
1152,rudi rubiandini
1153,waryono
1154,arwani thomafi
1155,arwani
1156,fachri hamzah
1157,fachry hamzah
1158,tjahjo kumolo
1159,agus condro prayitno
1160,agus
1161,agus condro
1162,agus condro prayitno
1163,miranda goeltom
1164,agus
1165,agus
1166,tjahjo
1167,agus
1168,tjahjo
1169,agus condro
1170,megawati soekarnoputri
1171,pramono anung
1172,hajriyanto tohari
1173,hajriyanto
1174,hajriyanto
1175,hajrianto
1176,hajriyanto
1177,hajriyanto
1178,syarifuddin sudding
1179,sudding
1180,sudding
1181,wiranto
1182,hary tanoesoedibjo
1183,wiranto
1184,wiranto
1185,hary
1186,wiranto
1187,yuddy chrisnandi
1188,hary
1189,wiranto
1190,hary
1191,wiranto
1192,pak hary
1193,yuddy
1194,johan budi sapto prabowo
1195,johan
1196,johan
1197,muhammad
1198,muhammad
1199,johan
1200,endriartono sutarto
1201,endriartono
1202,endriartono
1203,endriartono
1204,suaidi marassabessy
1205,endriartono
1206,hasto kristianto
1207,hasto
1208,hasto
1209,jusuf kalla
1210,rustriningsih
1211,harry sarundajang
1212,isran noor
1213,marzuki alie
1214,rusdi kirana
1215,rustri
1216,rustri
1217,rustri
1218,ganjar pranowo
1219,vera febyanthy
1220,teguh juwarno
1221,teguh
1222,teguh
